日付,source_url,機種,平均差枚,平均G数,勝率,出率
2026-03-01,https://min-repo.com/2951671/,L ToLOVEるダークネス TRANCE ver.8.7,3842,4266,3/3,130%
2026-03-01,https://min-repo.com/2951671/,吉宗,3438,2943,2/4,138.9%
2026-03-01,https://min-repo.com/2951671/,スマスロ鉄拳6,2130,6147,4/8,111.5%
2026-03-01,https://min-repo.com/2951671/,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2033,8085,6/11,108.4%
2026-03-01,https://min-repo.com/2951671/,スマスロ ゴッドイーター リザレクション,1435,3306,1/3,114.5%
2026-03-01,https://min-repo.com/2951671/,A-SLOT+ ディスクアップ ULTRAREMIX,787,8251,1/2,103.2%
2026-03-01,https://min-repo.com/2951671/,スマスロ ハナビ,594,6845,4/6,102.9%
2026-03-01,https://min-repo.com/2951671/,バーサスリヴァイズ,556,7202,2/2,102.6%
2026-03-01,https://min-repo.com/2951671/,いざ！番長,478,5288,2/6,103%
2026-03-01,https://min-repo.com/2951671/,スマスロ 東京リベンジャーズ,409,4314,3/6,103.2%
2026-03-01,https://min-repo.com/2951671/,ウルトラミラクルジャグラー,361,6036,3/5,102%
2026-03-01,https://min-repo.com/2951671/,ゴーゴージャグラー３,234,6171,12/24,101.3%
2026-03-01,https://min-repo.com/2951671/,Lパチスロ かぐや様は告らせたい,232,5301,2/5,101.5%
2026-03-01,https://min-repo.com/2951671/,L不二子BT,162,6029,2/2,100.9%
2026-03-01,https://min-repo.com/2951671/,SHAKE BONUS TRIGGER,124,6776,2/3,100.6%
2026-03-01,https://min-repo.com/2951671/,機種,平均差枚,平均G数,勝率,出率
2026-03-01,https://min-repo.com/2951671/,ファンキージャグラー２ＫＴ,31,6197,7/12,100.2%
2026-03-01,https://min-repo.com/2951671/,ネオアイムジャグラーEX,15,5896,23/54,100.1%
2026-03-01,https://min-repo.com/2951671/,スマスロ スーパーブラックジャック,12,4877,2/4,100.1%
2026-03-01,https://min-repo.com/2951671/,沖ドキ！BLACK,-6,5461,11/17,100%
2026-03-01,https://min-repo.com/2951671/,スマスロ 沖ドキ!DUO アンコール,-69,3352,4/18,99.3%
2026-03-01,https://min-repo.com/2951671/,ハッピージャグラーＶＩＩＩ,-77,6938,2/3,99.6%
2026-03-01,https://min-repo.com/2951671/,Lスマスロ北斗の拳,-100,3800,5/9,99.1%
2026-03-01,https://min-repo.com/2951671/,マイジャグラーV,-100,6414,21/41,99.3%
2026-03-01,https://min-repo.com/2951671/,スマスロ北斗の拳 転生の章2,-100,6501,12/36,99.3%
2026-03-01,https://min-repo.com/2951671/,L範馬刃牙,-150,5613,1/5,99.1%
2026-03-01,https://min-repo.com/2951671/,スマスロ新鬼武者3,-200,3145,1/7,97.5%
2026-03-01,https://min-repo.com/2951671/,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-250,2480,1/4,96.3%
2026-03-01,https://min-repo.com/2951671/,L東京喰種,-250,5321,9/20,98.2%
2026-03-01,https://min-repo.com/2951671/,ミスタージャグラー,-250,5622,2/4,97.8%
2026-03-01,https://min-repo.com/2951671/,ジャグラーガールズSS,-250,5015,2/8,97.2%
2026-03-01,https://min-repo.com/2951671/,機種,平均差枚,平均G数,勝率,出率
2026-03-01,https://min-repo.com/2951671/,スマスロ化物語,-250,7620,1/6,97.9%
2026-03-01,https://min-repo.com/2951671/,キングハナハナ-30,-250,4755,1/2,96.6%
2026-03-01,https://min-repo.com/2951671/,ニューキングハナハナV‐30,-500,5460,3/9,96.7%
2026-03-01,https://min-repo.com/2951671/,スマスロ モンスターハンターライズ,-500,6029,3/6,96.9%
2026-03-01,https://min-repo.com/2951671/,パチスロ　甲鉄城のカバネリ,-500,4485,1/3,95.6%
2026-03-01,https://min-repo.com/2951671/,Lパチスロ革命機ヴァルヴレイヴ2,-500,6428,7/20,96.8%
2026-03-01,https://min-repo.com/2951671/,LBパチスロ ヱヴァンゲリヲン～約束の扉～,-500,3560,0/2,93.3%
2026-03-01,https://min-repo.com/2951671/,スマスロ秘宝伝,-750,2091,1/5,87.7%
2026-03-01,https://min-repo.com/2951671/,スマスロモンキーターンV,-750,5659,3/16,95.5%
2026-03-01,https://min-repo.com/2951671/,L少女☆歌劇 レヴュースタァライト -The SLOT-,-750,3210,0/3,91.8%
2026-03-01,https://min-repo.com/2951671/,L戦国乙女４　戦乱に閃く炯眼の軍師,-750,4090,1/5,93.1%
2026-03-01,https://min-repo.com/2951671/,プリズムナナ,-750,4225,1/3,93.1%
2026-03-01,https://min-repo.com/2951671/,スマスロ バイオハザード5,-750,3800,1/3,91.9%
2026-03-01,https://min-repo.com/2951671/,アレックス ブライト,-750,5761,0/2,94.4%
2026-03-01,https://min-repo.com/2951671/,L無職転生～異世界行ったら本気だす～,-750,6406,2/6,94.9%
2026-03-01,https://min-repo.com/2951671/,機種,平均差枚,平均G数,勝率,出率
2026-03-01,https://min-repo.com/2951671/,Lパチスロ戦姫絶唱シンフォギア 正義の歌,-1000,3766,1/2,90.6%
2026-03-01,https://min-repo.com/2951671/,Lパチスロ炎炎ノ消防隊2,-1000,7319,6/20,95.1%
2026-03-01,https://min-repo.com/2951671/,忍魂参～奥義皆伝ノ章～,-1000,2346,0/2,83.2%
2026-03-01,https://min-repo.com/2951671/,スマスロ 攻殻機動隊,-1000,7399,2/5,94.6%
2026-03-01,https://min-repo.com/2951671/,Lパチスロからくりサーカス,-1250,1385,0/3,69.9%
2026-03-01,https://min-repo.com/2951671/,Lアズールレーン THE ANIMATION,-1250,4790,1/5,90.5%
2026-03-01,https://min-repo.com/2951671/,Lゴブリンスレイヤー,-1250,3477,2/10,86.6%
2026-03-01,https://min-repo.com/2951671/,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,-1500,5720,0/2,90.4%
2026-03-01,https://min-repo.com/2951671/,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,-1750,2737,0/2,77.4%
2026-03-01,https://min-repo.com/2951671/,L ToLOVEるダークネス,-2500,3525,0/3,76.1%
2026-03-01,https://min-repo.com/2951671/,L主役は銭形5,-2500,2894,0/3,68.4%
2026-03-02,https://min-repo.com/2955272/,スマスロ ゴッドイーター リザレクション,2315,2647,2/3,129.1%
2026-03-02,https://min-repo.com/2955272/,Lゴブリンスレイヤー,2148,2399,7/10,129.8%
2026-03-02,https://min-repo.com/2955272/,L戦国乙女４　戦乱に閃く炯眼の軍師,2102,2889,2/5,124.3%
2026-03-02,https://min-repo.com/2955272/,ミスタージャグラー,2026,5595,4/4,112.1%
2026-03-02,https://min-repo.com/2955272/,スマスロ バイオハザード5,1713,2730,1/3,120.9%
2026-03-02,https://min-repo.com/2955272/,L無職転生～異世界行ったら本気だす～,1482,3237,3/6,115.3%
2026-03-02,https://min-repo.com/2955272/,L不二子BT,1297,5474,2/2,107.9%
2026-03-02,https://min-repo.com/2955272/,L東京喰種,1285,3261,11/20,113.1%
2026-03-02,https://min-repo.com/2955272/,忍魂参～奥義皆伝ノ章～,1158,1934,1/2,120%
2026-03-02,https://min-repo.com/2955272/,いざ！番長,934,2750,3/6,111.3%
