機種,総差枚,総G数,総投入枚数,出現台数,集計日数,機械割(%)
スマスロ 七つの魔剣が支配する,9422,13653.0,40959.0,2,2,123.0
L ToLOVEるダークネス TRANCE ver.8.7,20370,31193.0,93579.0,9,3,121.77
L真・一騎当千,6050,12367.0,37101.0,1,1,116.31
スマスロ ビッグドリーム THE GOLDEN PUSHER,9580,25094.0,75282.0,3,1,112.73
L主役は銭形5,74306,215923.0,647769.0,69,39,111.47
翔べ！ハーレムエース,2270,6677.0,20031.0,1,1,111.33
ハイビリターン-30,3430,10333.0,30999.0,4,1,111.06
L ToLOVEるダークネス,178335,570170.0,1710510.0,173,73,110.43
Lパチスロ閃乱カグラ2 SHINOVI MASTER,4769,16873.0,50619.0,4,4,109.42
吉宗,173800,621696.0,1865088.0,221,73,109.32
Lラブ嬢3～Wご指名はいかがですか?～,3241,11976.0,35928.0,3,3,109.02
スマスロヨルムンガンド,14345,53291.0,159873.0,15,5,108.97
スマスロ鉄拳6,861593,3210311.0,9630933.0,824,101,108.95
Lゴブリンスレイヤー,225324,853125.0,2559375.0,356,72,108.8
プリズムナナ,108196,410733.0,1232199.0,138,50,108.78
Lアズールレーン THE ANIMATION,308378,1193247.0,3579741.0,310,96,108.61
Lパチスロ革命機ヴァルヴレイヴ2,1552940,6026290.0,18078870.0,1944,101,108.59
スマスロ ゴッドイーター リザレクション,243184,980354.0,2941062.0,293,100,108.27
Lパチスロ かぐや様は告らせたい,590481,2437316.0,7311948.0,705,101,108.08
L無職転生～異世界行ったら本気だす～,489913,2047469.0,6142407.0,592,101,107.98
スマスロ北斗の拳 転生の章2,3689952,15687910.0,47063730.0,3564,101,107.84
ドラゴンハナハナ～閃光～‐30,7810,34024.0,102072.0,5,1,107.65
L戦国乙女４　戦乱に閃く炯眼の軍師,357599,1573325.0,4719975.0,374,100,107.58
L東京喰種,2773524,12215228.0,36645684.0,2322,101,107.57
忍魂参～奥義皆伝ノ章～,74719,339796.0,1019388.0,102,99,107.33
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,120509,551973.0,1655919.0,194,99,107.28
真打 吉宗,749265,3472730.0,10418190.0,613,62,107.19
スマスロ 沖ドキ!DUO アンコール,213958,1003004.0,3009012.0,265,27,107.11
スマスロ新鬼武者3,213172,1012523.0,3037569.0,288,101,107.02
L範馬刃牙,128750,616152.0,1848456.0,252,51,106.97
スマスロ スーパーブラックジャック,188797,903569.0,2710707.0,221,73,106.96
スロット Re:ゼロから始める異世界生活 season2,3519,17037.0,51111.0,4,4,106.89
スマスロ モンスターハンターライズ,244354,1201877.0,3605631.0,289,73,106.78
いざ！番長,269609,1328160.0,3984480.0,309,100,106.77
スマスロ化物語,776210,3842958.0,11528874.0,844,101,106.73
スマスロ 東京リベンジャーズ,87502,437408.0,1312224.0,128,58,106.67
Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,277875,1402567.0,4207701.0,376,50,106.6
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,122643,629507.0,1888521.0,185,58,106.49
Lスマスロ北斗の拳,415982,2155660.0,6466980.0,559,101,106.43
Lパチスロ炎炎ノ消防隊2,1746148,9059277.0,27177831.0,1946,101,106.42
スマスロ 攻殻機動隊,551139,2939424.0,8818272.0,498,100,106.25
スマスロ バイオハザードRE:3,316665,1693385.0,5080155.0,302,29,106.23
沖ドキ！ＧＯＬＤ-30,249076,1360832.0,4082496.0,402,67,106.1
スマスロ バイオハザード5,163696,904985.0,2714955.0,296,99,106.03
L絶対衝激IV,31109,177039.0,531117.0,98,98,105.86
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,724275,4135783.0,12407349.0,1093,101,105.84
スマスロ ミリオンゴッド-神々の軌跡-,734723,4203943.0,12611829.0,545,51,105.83
沖ドキ！BLACK,1223799,7047237.0,21141711.0,1942,100,105.79
スマスロモンキーターンV,992829,5718236.0,17154708.0,1300,101,105.79
沖ドキ!ゴージャス 30Φ,559435,3232767.0,9698301.0,864,96,105.77
Lアクダマドライブ,57498,347376.0,1042128.0,70,62,105.52
パチスロ　甲鉄城のカバネリ,186572,1131736.0,3395208.0,297,99,105.5
スマスロ スーパーリオエース2,210259,1294432.0,3883296.0,220,29,105.41
クランキークレスト,48935,347490.0,1042470.0,88,88,104.69
A-SLOT+ ディスクアップ ULTRAREMIX,132546,944638.0,2833914.0,127,89,104.68
スマスロ 甲鉄城のカバネリ 海門決戦,2141306,15306794.0,45920382.0,2026,98,104.66
スマート沖スロ ニューキングハナハナV,9180,67448.0,202344.0,8,1,104.54
SHAKE BONUS TRIGGER,207714,1567253.0,4701759.0,364,100,104.42
スマスロとある科学の超電磁砲2,54677,418810.0,1256430.0,96,96,104.35
LBスロットGALFY,11898,95394.0,286182.0,22,11,104.16
スマスロ秘宝伝,56422,459369.0,1378107.0,162,101,104.09
