末尾,総差枚,総G数,総投入枚数,出現台数,集計日数,機械割(%)
3,3451038,26345533.0,79036599.0,5779,120,104.37
2,3277771,26034507.0,78103521.0,5779,120,104.2
7,3189588,26161339.0,78484017.0,5768,120,104.06
9,3175602,26050476.0,78151428.0,5729,119,104.06
6,3313974,27301426.0,81904278.0,5797,120,104.05
8,3074562,26131024.0,78393072.0,5739,120,103.92
1,3007079,26507356.0,79522068.0,5759,120,103.78
4,2877146,25569164.0,76707492.0,5650,119,103.75
5,2985257,26890163.0,80670489.0,5779,120,103.7
0,2909815,26818669.0,80456007.0,5777,120,103.62
