日付,source_url,機種,台番,差枚,G数,出率
2026-03-01,https://min-repo.com/2951671/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,240,1157,8477,104.5%
2026-03-01,https://min-repo.com/2951671/,パチスロハイパーラッシュ,238,602,6049,103.3%
2026-03-01,https://min-repo.com/2951671/,L絶対衝激IV,438,463,864,117.9%
2026-03-01,https://min-repo.com/2951671/,ニューパルサーSP4 with 太鼓の達人,239,139,3251,101.4%
2026-03-01,https://min-repo.com/2951671/,Lラブ嬢3～Wご指名はいかがですか?～,440,139,3169,101.5%
2026-03-01,https://min-repo.com/2951671/,Lソードアート・オンライン,439,-500,576,65.2%
2026-03-01,https://min-repo.com/2951671/,スマスロ ドルアーガの塔,436,-1000,6955,93.8%
2026-03-01,https://min-repo.com/2951671/,バーニングエクスプレス,437,-1500,1728,66.1%
2026-03-01,https://min-repo.com/2951671/,クランキークレスト,237,0,0,-
2026-03-02,https://min-repo.com/2955272/,Lラブ嬢3～Wご指名はいかがですか?～,440,3102,3786,127.3%
2026-03-02,https://min-repo.com/2955272/,ニューパルサーSP4 with 太鼓の達人,239,1713,5309,110.8%
2026-03-02,https://min-repo.com/2955272/,スマスロ ドルアーガの塔,436,417,5679,102.4%
2026-03-02,https://min-repo.com/2955272/,Lソードアート・オンライン,439,370,1235,110%
2026-03-02,https://min-repo.com/2955272/,L絶対衝激IV,438,278,247,137.5%
2026-03-02,https://min-repo.com/2955272/,パチスロハイパーラッシュ,238,93,3251,101%
2026-03-02,https://min-repo.com/2955272/,バーニングエクスプレス,437,-46,1276,98.8%
2026-03-02,https://min-repo.com/2955272/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,240,-250,2634,94.7%
2026-03-02,https://min-repo.com/2955272/,クランキークレスト,237,0,0,-
2026-03-03,https://min-repo.com/2955653/,Lソードアート・オンライン,439,324,1975,105.5%
2026-03-03,https://min-repo.com/2955653/,L絶対衝激IV,438,-93,700,95.6%
2026-03-03,https://min-repo.com/2955653/,バーニングエクスプレス,437,-250,1358,88.6%
2026-03-03,https://min-repo.com/2955653/,パチスロハイパーラッシュ,238,-500,3086,92.5%
2026-03-03,https://min-repo.com/2955653/,スマスロ ドルアーガの塔,436,-1000,2840,85.9%
2026-03-03,https://min-repo.com/2955653/,ニューパルサーSP4 with 太鼓の達人,239,-1000,5103,91.8%
2026-03-03,https://min-repo.com/2955653/,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,240,-1500,5514,89.9%
